iter	MultiClass
0	1.586800527
1	1.56318217
2	1.539868719
3	1.523408054
4	1.507717171
5	1.489000142
6	1.472654747
7	1.458253777
8	1.444626692
9	1.431049686
10	1.415748501
11	1.40345068
12	1.390999161
13	1.380604397
14	1.368293069
15	1.358385323
16	1.345677762
17	1.336548928
18	1.325528194
19	1.314573312
20	1.302555099
21	1.291629814
22	1.281474462
23	1.27187377
24	1.261540919
25	1.252573894
26	1.24526065
27	1.235845892
28	1.227024027
29	1.217906414
30	1.208825858
31	1.200377106
32	1.19352971
33	1.185606265
34	1.179022039
35	1.172310248
36	1.164796183
37	1.157832344
38	1.150775329
39	1.143666095
40	1.135847277
41	1.128403834
42	1.121561875
43	1.116012685
44	1.109664084
45	1.102647171
46	1.096653304
47	1.090917309
48	1.08460136
49	1.079354203
50	1.073823357
51	1.067361653
52	1.061870607
53	1.055840643
54	1.050581571
55	1.045830469
56	1.040405858
57	1.036256091
58	1.03022124
59	1.025155738
60	1.020445898
61	1.015157484
62	1.011274921
63	1.006257941
64	1.001150649
65	0.9964298611
66	0.9912649285
67	0.9863063458
68	0.9819040012
69	0.9780273606
70	0.9743752593
71	0.9712106505
72	0.967542331
73	0.9639431007
74	0.9603058108
75	0.9565134178
76	0.9531590748
77	0.9489272112
78	0.9437318345
79	0.9405883326
80	0.9363149802
81	0.9334287693
82	0.9296758102
83	0.9252845051
84	0.9212405533
85	0.9169123969
86	0.9146765248
87	0.9104173155
88	0.9068927792
89	0.903812942
90	0.9010382863
91	0.8984108624
92	0.8943026261
93	0.8904555004
94	0.8870895656
95	0.8838612227
96	0.8807830027
97	0.8772341736
98	0.8734390462
99	0.8703805228
100	0.8666577187
101	0.8625658097
102	0.8598484298
103	0.8555602469
104	0.8531195841
105	0.8499490585
106	0.8465268529
107	0.8439992521
108	0.8418400316
109	0.8379847884
110	0.834143531
111	0.8317702028
112	0.8292319929
113	0.8261702492
114	0.8220652272
115	0.8189118733
116	0.8170932363
117	0.8148877706
118	0.8121467118
119	0.8087694111
120	0.8057954354
121	0.8032452834
122	0.8010711828
123	0.7989636524
124	0.7966510097
125	0.7932332846
126	0.7907351002
127	0.7888312419
128	0.786754546
129	0.7837640562
130	0.7815388434
131	0.7792727259
132	0.7769331395
133	0.7756660925
134	0.7731813403
135	0.7712443492
136	0.7694999571
137	0.7671827888
138	0.765548055
139	0.7632558773
140	0.7609865852
141	0.7588695318
142	0.7570005769
143	0.7546754947
144	0.7523587281
145	0.7505401297
146	0.7474133056
147	0.7445186068
148	0.7424211708
149	0.7398576165
150	0.7379569676
151	0.7353610416
152	0.7337058511
153	0.7311760905
154	0.7305613348
155	0.7284478947
156	0.726207469
157	0.7250865439
158	0.7232834643
159	0.7203132184
160	0.7178676502
161	0.7161619906
162	0.7138954302
163	0.7107949788
164	0.709265546
165	0.7067912619
166	0.7050244844
167	0.7034809772
168	0.7010598196
169	0.6995478108
170	0.697773323
171	0.6964763504
172	0.6943175461
173	0.6923335118
174	0.6903289899
175	0.6882359591
176	0.6859581782
177	0.6844061301
178	0.6825785727
179	0.6807905568
180	0.6785768693
181	0.677137942
182	0.6757483318
183	0.6739010096
184	0.671517999
185	0.669726665
186	0.6672683857
187	0.6648315141
188	0.663068829
189	0.6610868547
190	0.6598337358
191	0.6581423375
192	0.6566314648
193	0.6553955837
194	0.6538602894
195	0.6521547282
196	0.650653849
197	0.6495329458
198	0.6482971292
199	0.6467031237
200	0.6443974828
201	0.6425558815
202	0.6403087149
203	0.6384182855
204	0.6370691002
205	0.6356130409
206	0.6335510728
207	0.6318516861
208	0.6309515844
209	0.629105969
210	0.6276741964
211	0.62606452
212	0.6245848214
213	0.6235700237
214	0.6222835756
215	0.6210648847
216	0.6196847829
217	0.6182831334
218	0.6170290127
219	0.6156262256
220	0.6138180496
221	0.6118929683
222	0.6107292563
223	0.6085076997
224	0.6069174571
225	0.6057674627
226	0.6041015887
227	0.6030374289
228	0.6014617288
229	0.5999279669
230	0.5987118811
231	0.5970811518
232	0.5957510003
233	0.594627452
234	0.5930786068
235	0.5915405466
236	0.5896027059
237	0.5885826693
238	0.58726552
239	0.5861514292
240	0.5850006679
241	0.5836962144
242	0.5823956623
243	0.5807965146
244	0.5798036073
245	0.57846495
246	0.5768160796
247	0.5754212348
248	0.5742699127
249	0.5733092972
250	0.5721229244
251	0.571182112
252	0.5698252172
253	0.5680769866
254	0.566218427
255	0.5651880662
256	0.5641127592
257	0.5621341611
258	0.5605733915
259	0.5598893685
260	0.5589432388
261	0.5577774987
262	0.5569481772
263	0.5557477721
264	0.5542472264
265	0.5528585264
266	0.5514720495
267	0.5500103449
268	0.5488435089
269	0.5473665446
270	0.5463310585
271	0.5450738426
272	0.543627092
273	0.5425971512
274	0.541499885
275	0.5403448318
276	0.5396279622
277	0.5386289888
278	0.5375211327
279	0.5367625537
280	0.5356485147
281	0.5343825981
282	0.5333482973
283	0.5322762704
284	0.5311718991
285	0.5301996101
286	0.5290059643
287	0.5273509339
288	0.5264517344
289	0.5257167964
290	0.5247677477
291	0.5234580033
292	0.5227303563
293	0.521103455
294	0.5199249316
295	0.51874652
296	0.5177765937
297	0.5167703992
298	0.5162010533
299	0.5153810136
300	0.5137488916
301	0.5129151157
302	0.5118891567
303	0.5108597653
304	0.5096350764
305	0.5086362551
306	0.5074790853
307	0.5063660473
308	0.50502686
309	0.5039716874
310	0.5028215542
311	0.5020657047
312	0.5008811199
313	0.4999261637
314	0.4990089388
315	0.4979605076
316	0.4967752026
317	0.4957954145
318	0.4947788971
319	0.4935863042
320	0.4926422255
321	0.4913936621
322	0.4904910906
323	0.4891913453
324	0.4884939334
325	0.4871191167
326	0.4864533221
327	0.4852832183
328	0.4839953232
329	0.4825558034
330	0.4816860206
331	0.4807033322
332	0.4797845582
333	0.4787037874
334	0.4777981687
335	0.4766561292
336	0.4757523225
337	0.4745603325
338	0.4734821325
339	0.4722419747
340	0.471157904
341	0.470031625
342	0.469293243
343	0.4683083335
344	0.4674560758
345	0.4664290115
346	0.4654335882
347	0.4646818266
348	0.4639337431
349	0.4630907064
350	0.4623163665
351	0.4616743362
352	0.4606975768
353	0.4597835501
354	0.4588222484
355	0.4582381944
356	0.4572936952
357	0.4567090948
358	0.455690336
359	0.4546599926
360	0.4536866515
361	0.4527198593
362	0.4521127538
363	0.4515517926
364	0.4510646287
365	0.4499454207
366	0.4488047833
367	0.4480969631
368	0.4473853894
369	0.4468633079
370	0.4460470177
371	0.4451276635
372	0.4441281707
373	0.4433229136
374	0.442072303
375	0.4409392268
376	0.4396734967
377	0.4390815374
378	0.4380254354
379	0.4369643579
380	0.4361614967
381	0.4358248785
382	0.4350054947
383	0.4339793675
384	0.4329626116
385	0.432310654
386	0.4316697073
387	0.4310593124
388	0.4302447612
389	0.4293738029
390	0.4286696707
391	0.4276321671
392	0.4265238186
393	0.4256755559
394	0.4249014536
395	0.4239468165
396	0.4232750005
397	0.4223810944
398	0.4216962734
399	0.42094459
400	0.4203209873
401	0.4197356977
402	0.4190613217
403	0.4182121459
404	0.4174112478
405	0.4165942818
406	0.415762488
407	0.4152162322
408	0.4144026099
409	0.4140001966
410	0.4132918531
411	0.4127598379
412	0.4119907694
413	0.4111895499
414	0.4104997405
415	0.4099420627
416	0.4090643734
417	0.4082815868
418	0.4074417158
419	0.4066557048
420	0.4059518518
421	0.4051320035
422	0.4044677939
423	0.404038636
424	0.4032198502
425	0.4026492045
426	0.4016948179
427	0.4008283488
428	0.4003641982
429	0.3993070727
430	0.3984413322
431	0.3976762478
432	0.3965489745
433	0.3961004485
434	0.3954055275
435	0.3947045606
436	0.3942652673
437	0.393344133
438	0.3925970621
439	0.3916966655
440	0.3911608496
441	0.3906119649
442	0.3899800449
443	0.3895954287
444	0.3889496487
445	0.3885233905
446	0.3879513113
447	0.3873061396
448	0.3866369822
449	0.3858318973
450	0.384862519
451	0.3839647595
452	0.383360738
453	0.3825482532
454	0.3818010894
455	0.3813020737
456	0.3808354032
457	0.380280347
458	0.379485495
459	0.3790135721
460	0.3784003252
461	0.3778575887
462	0.3771805778
463	0.3767252417
464	0.3761295212
465	0.3754709375
466	0.3748035838
467	0.3741867931
468	0.3738233
469	0.3730223087
470	0.3723887424
471	0.3718916105
472	0.3712734841
473	0.370436984
474	0.3696388793
475	0.3691681371
476	0.3686018828
477	0.3677386059
478	0.3673030844
479	0.3665715102
480	0.3658683
481	0.365358318
482	0.3647828368
483	0.3642590539
484	0.3636215442
485	0.3629766354
486	0.3622833664
487	0.3616986701
488	0.3608940553
489	0.3602409178
490	0.3597934941
491	0.3594759677
492	0.358771962
493	0.3582821918
494	0.3577438693
495	0.3572175537
496	0.3566479453
497	0.3559373984
498	0.3554640422
499	0.3548092913
500	0.3544578186
501	0.3538627245
502	0.353305578
503	0.3526188017
504	0.3522565544
505	0.3515743638
506	0.3511062668
507	0.3504779403
508	0.3501193087
509	0.3495757376
510	0.3488754076
511	0.3484793853
512	0.3478882673
513	0.3475754145
514	0.3469025977
515	0.3461713257
516	0.3455742967
517	0.3449765936
518	0.344449468
519	0.3439620241
520	0.3436989159
521	0.343070507
522	0.3426067839
523	0.3422003208
524	0.3417451643
525	0.3413930063
526	0.340986319
527	0.3404379189
528	0.3399400745
529	0.3392827901
530	0.3386047873
531	0.3379699478
532	0.3374240746
533	0.3369912823
534	0.3365126506
535	0.3357650982
536	0.335105013
537	0.3343156432
538	0.3337753543
539	0.3331550085
540	0.3327901608
541	0.3322177811
542	0.3318845611
543	0.3313423241
544	0.3306866448
545	0.3301411922
546	0.3298028147
547	0.3290617155
548	0.3284556235
549	0.3279285431
550	0.3274268695
551	0.326848753
552	0.3261876444
553	0.3254944274
554	0.3252061127
555	0.3247704953
556	0.3242732824
557	0.3239843411
558	0.3235139159
559	0.3229633665
560	0.3223265094
561	0.3217754283
562	0.3214988135
563	0.3208496774
564	0.3205217074
565	0.3201865216
566	0.3198138033
567	0.3193541693
568	0.3188612652
569	0.3185306415
570	0.3180452924
571	0.3173893383
572	0.3170252882
573	0.3166192114
574	0.3159803898
575	0.3155794019
576	0.3152312452
577	0.3147375681
578	0.3140643064
579	0.3135019057
580	0.3132542604
581	0.3128678463
582	0.3123360288
583	0.3118453177
584	0.3112962105
585	0.3107910067
586	0.3102962096
587	0.3099628535
588	0.3094776092
589	0.3088823413
590	0.3083703315
591	0.3078150444
592	0.3072328251
593	0.3066171398
594	0.3062005312
595	0.3057838245
596	0.3054945084
597	0.3052124215
598	0.3048007077
599	0.3041540946
600	0.3037511082
601	0.3032112766
602	0.3027984182
603	0.3023137978
604	0.3018645477
605	0.3013854097
606	0.3010293606
607	0.3006742526
608	0.3002345921
609	0.2997689977
610	0.2993252913
611	0.298866934
612	0.2982882821
613	0.2980568568
614	0.2977477835
615	0.2974159012
616	0.2970371473
617	0.2964882975
618	0.2959283294
619	0.2955534089
620	0.2951720202
621	0.2948280531
622	0.2944542922
623	0.2941380366
624	0.2935872868
625	0.2932233107
626	0.2928160586
627	0.2922702163
628	0.2920606097
629	0.2916996865
630	0.2912481144
631	0.2909454551
632	0.2904335589
633	0.2899488458
634	0.2895089899
635	0.2890632115
636	0.2886745547
637	0.2884612278
638	0.2882064609
639	0.2877512984
640	0.287185838
641	0.2867244555
642	0.2862440746
643	0.28581945
644	0.2853708077
645	0.2850814331
646	0.2846214837
647	0.2843967682
648	0.2838236914
649	0.2833327783
650	0.2830658448
651	0.2828169886
652	0.2823068648
653	0.2818979757
654	0.2815931636
655	0.2812333318
656	0.2809598257
657	0.2805238117
658	0.280244238
659	0.2799076649
660	0.279492097
661	0.2791675257
662	0.2789064448
663	0.2786867783
664	0.2783856365
665	0.2781530596
666	0.2776045085
667	0.2773475294
668	0.2770053039
669	0.2765704443
670	0.2761734907
671	0.2757239234
672	0.275293547
673	0.2750457848
674	0.2747443508
675	0.2743868026
676	0.2741817622
677	0.2740250296
678	0.2735922547
679	0.2733320645
680	0.2729699791
681	0.2725723462
682	0.272321024
683	0.2718636308
684	0.2713942539
685	0.2709496277
686	0.2705577913
687	0.2702867835
688	0.2701321722
689	0.2698020054
690	0.2693836294
691	0.2690376171
692	0.2687114894
693	0.2684714819
694	0.2679678359
695	0.2677096192
696	0.2674749824
697	0.2669359703
698	0.2666270553
699	0.2661818449
700	0.265757987
701	0.2653687613
702	0.264920936
703	0.2645209673
704	0.2641600814
705	0.263898015
706	0.2636672433
707	0.2632890396
708	0.2630318086
709	0.2628410166
710	0.2624754409
711	0.2619538781
712	0.2616229799
713	0.261284425
714	0.2610611102
715	0.2606113888
716	0.2601595736
717	0.2598798611
718	0.2595385232
719	0.2591777749
720	0.2588271811
721	0.25835598
722	0.2581101003
723	0.2577573404
724	0.2576309867
725	0.2573411701
726	0.2570800388
727	0.2566836666
728	0.2564579557
729	0.2561007691
730	0.255754404
731	0.2554028169
732	0.2550683042
733	0.2546442809
734	0.254385688
735	0.2539063999
736	0.2534901833
737	0.2531376274
738	0.2529467462
739	0.2526169837
740	0.25217736
741	0.251649886
742	0.2513179732
743	0.2509371567
744	0.250570935
745	0.2501728003
746	0.2498315104
747	0.249388154
748	0.2490116688
749	0.248605379
750	0.2483672397
751	0.2480013767
752	0.2476104275
753	0.2471751803
754	0.2468825338
755	0.2466690097
756	0.2462644765
757	0.2459120076
758	0.2456204749
759	0.2453191116
760	0.2449646927
761	0.2446822893
762	0.2443528763
763	0.2441373501
764	0.2436858979
765	0.2432730955
766	0.242862261
767	0.2425943734
768	0.2421484656
769	0.2417924972
770	0.2414008304
771	0.2409771162
772	0.2407545309
773	0.2403609679
774	0.2399204988
775	0.2396770649
776	0.2394965342
777	0.2392212118
778	0.2389551786
779	0.2386975232
780	0.2383900414
781	0.2380820477
782	0.2376457115
783	0.237418045
784	0.2370068231
785	0.2367222185
786	0.2364821301
787	0.2362211083
788	0.2360559711
789	0.2358007788
790	0.2354734383
791	0.2350441179
792	0.2346699257
793	0.2343944195
794	0.2340391947
795	0.233859524
796	0.2334757364
797	0.2331827044
798	0.2327999428
799	0.232496489
