iter	Passed	Remaining
0	168	134873
1	187	74875
2	210	55911
3	229	45617
4	246	39219
5	265	35121
6	282	31959
7	298	29559
8	314	27679
9	331	26164
10	348	24969
11	366	24044
12	383	23222
13	401	22540
14	420	22023
15	439	21551
16	457	21062
17	466	20272
18	484	19921
19	501	19563
20	519	19262
21	535	18943
22	552	18668
23	571	18478
24	590	18305
25	607	18079
26	624	17879
27	642	17703
28	659	17525
29	676	17360
30	693	17192
31	709	17030
32	726	16893
33	743	16753
34	760	16626
35	777	16498
36	794	16375
37	809	16240
38	825	16117
39	842	16015
40	859	15906
41	875	15801
42	892	15703
43	909	15622
44	927	15554
45	944	15482
46	961	15398
47	978	15325
48	994	15243
49	1010	15160
50	1027	15095
51	1043	15013
52	1059	14931
53	1075	14856
54	1091	14778
55	1106	14695
56	1122	14631
57	1138	14561
58	1154	14495
59	1169	14428
60	1186	14368
61	1202	14312
62	1219	14270
63	1235	14204
64	1250	14138
65	1267	14097
66	1283	14040
67	1298	13980
68	1314	13924
69	1330	13872
70	1345	13817
71	1361	13761
72	1376	13706
73	1392	13663
74	1408	13614
75	1423	13564
76	1440	13524
77	1456	13484
78	1473	13452
79	1491	13419
80	1508	13392
81	1525	13354
82	1541	13316
83	1557	13277
84	1576	13260
85	1593	13230
86	1611	13208
87	1628	13175
88	1646	13153
89	1662	13116
90	1680	13091
91	1697	13060
92	1714	13033
93	1733	13017
94	1750	12989
95	1767	12963
96	1784	12933
97	1804	12925
98	1829	12952
99	1855	12988
100	1881	13021
101	1905	13036
102	1930	13061
103	1952	13069
104	1978	13093
105	2004	13121
106	2027	13130
107	2052	13151
108	2075	13159
109	2100	13177
110	2123	13180
111	2148	13200
112	2172	13210
113	2200	13241
114	2226	13265
115	2253	13286
116	2279	13304
117	2304	13319
118	2333	13353
119	2359	13373
120	2387	13396
121	2416	13431
122	2446	13467
123	2474	13488
124	2501	13508
125	2529	13530
126	2556	13549
127	2586	13581
128	2616	13611
129	2643	13626
130	2672	13647
131	2697	13652
132	2721	13648
133	2726	13550
134	2749	13543
135	2770	13524
136	2789	13500
137	2806	13465
138	2823	13428
139	2840	13389
140	2857	13357
141	2873	13315
142	2889	13275
143	2905	13237
144	2922	13200
145	2939	13168
146	2955	13128
147	2971	13091
148	2988	13058
149	3006	13029
150	3023	12996
151	3040	12961
152	3058	12931
153	3074	12895
154	3075	12799
155	3092	12766
156	3108	12728
157	3122	12689
158	3139	12656
159	3155	12620
